epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1883.06,0.39231,0.20888,0.83285,0.99996,1,0.995,0.93982,0.36207,0.16664,0.80703,0.000515,0.000515,0.000515
47,1916.92,0.3916,0.20603,0.83378,0.99996,1,0.995,0.94149,0.36151,0.16355,0.80641,0.000482,0.000482,0.000482
48,1950.09,0.3957,0.20616,0.83621,0.99996,1,0.995,0.94321,0.36245,0.1649,0.80719,0.000449,0.000449,0.000449
49,1983.71,0.3902,0.20459,0.83242,0.99997,1,0.995,0.94185,0.36225,0.1687,0.80674,0.000416,0.000416,0.000416
50,2017.15,0.38982,0.19938,0.83368,0.99997,1,0.995,0.94417,0.35621,0.15889,0.80576,0.000383,0.000383,0.000383
51,2049.03,0.36543,0.17902,0.811,0.99997,1,0.995,0.94084,0.36646,0.17205,0.80784,0.00035,0.00035,0.00035
52,2081,0.37144,0.17895,0.81121,0.99996,1,0.995,0.94127,0.36093,0.16668,0.80652,0.000317,0.000317,0.000317
53,2112.93,0.36705,0.1762,0.81623,0.99997,1,0.995,0.94134,0.36391,0.16416,0.80742,0.000284,0.000284,0.000284
54,2144.83,0.36468,0.17356,0.81812,0.99997,1,0.995,0.94457,0.35891,0.15822,0.80653,0.000251,0.000251,0.000251
55,2177.12,0.36199,0.16925,0.81806,0.99997,1,0.995,0.9456,0.3556,0.15565,0.80528,0.000218,0.000218,0.000218
56,2209.18,0.35761,0.16612,0.81085,0.99996,1,0.995,0.94436,0.35446,0.15537,0.8043,0.000185,0.000185,0.000185
57,2241.3,0.35874,0.16546,0.81794,0.99996,1,0.995,0.94566,0.35108,0.15161,0.80353,0.000152,0.000152,0.000152
58,2273.87,0.35227,0.16249,0.80898,0.99997,1,0.995,0.94589,0.35186,0.15095,0.80401,0.000119,0.000119,0.000119
59,2305.81,0.35198,0.15826,0.81098,0.99997,1,0.995,0.94827,0.34587,0.14473,0.80288,8.6e-05,8.6e-05,8.6e-05
60,2338.46,0.34893,0.15681,0.81114,0.99997,1,0.995,0.94668,0.34817,0.14433,0.80389,5.3e-05,5.3e-05,5.3e-05
